E_sim,E_solver,base,d_nu,f,gap,k_soft,n_bonds,n_diluted,nu_sim,nu_solver,ok,seed,sign_flip,z_live
0.5057793373219703,0.4383572015980436,regular,0.006214063244656232,0.2,0.14954243229109473,1e-20,360,72,0.3326635811969091,0.3388776444415653,1,1,0,4.8
0.49602282772890566,0.3205504678704138,regular,0.1277552286446847,0.2,0.7525381937332103,1e-20,360,72,0.270365542180112,0.1426103135354273,1,2,0,4.8
0.08822900084134894,0.02523096156618221,regular,0.1892647278969598,0.3,1.4092832625551348,1e-20,360,108,0.22222364244636061,0.4114883703433204,1,0,0,4.2
0.17738086546137172,0.17214303372949658,regular,0.015445168485150151,0.3,0.08088094779029602,1e-20,360,108,0.2507692604525833,0.23532409196743315,1,1,0,4.2
0.11020888166042637,0.09573635606361615,regular,0.07887192545958388,0.3,0.32569837471510454,1e-20,360,108,0.3557629349814642,0.4346348604410481,1,2,0,4.2
-1.77314933962221e-15,9.739026389137132e-11,regular,1.6650591658632998,0.4,98.15046159887211,1e-20,360,144,2.145418315435771,0.4803591495724713,1,0,0,3.6
-2.315865817759714e-16,1.9324392010191872e-10,regular,1.3129443570561692,0.4,194.4044609825356,1e-20,360,144,1.081546876169782,-0.2313974808863872,1,1,1,3.6
-2.6334382543308704e-15,2.5974468172570843e-10,regular,0.6758546808219563,0.4,260.3293941570989,1e-20,360,144,1.1111047448742541,0.4352500640522978,1,2,0,3.6
1.1547005383791242,1.1547005383792515,regular,1.1102230246251565e-16,0.0,1.1047538532751866e-13,1e-40,360,0,0.33333333333333337,0.33333333333333326,1,0,0,6.0
1.0169665009112192,0.9957706863219362,regular,0.002689091724325632,0.05,0.028100889027083107,1e-40,360,18,0.3204649741506416,0.32315406587496726,1,0,0,5.7
0.9734714326714584,0.826762936449011,regular,0.03407461813324686,0.05,0.24009735341451743,1e-40,360,18,0.331186957427532,0.3652615755607789,1,1,0,5.7
0.9800428068351709,0.9434179719901987,regular,0.004594388126811122,0.05,0.04926315294789911,1e-40,360,18,0.3363263610788503,0.3409207492056614,1,2,0,5.7
0.7995769661075445,0.6628358753829531,regular,0.050235207097986234,0.1,0.3062241901973042,1e-40,360,36,0.3215418621527759,0.2713066550547897,1,0,0,5.4
0.7958233870158036,0.5528659252907638,regular,0.0758550418424011,0.1,0.49952189422269955,1e-40,360,36,0.3405399115644302,0.4163949534068313,1,1,0,5.4
