# commit=a031675 dirty=True saved_utc=2026-08-21T19:39:23+00:00
n_tri,rcond_min,rcond_p05,frac_rcond_lt_1e3,frac_rcond_lt_1e4,quality_min,quality_p05,area_min_over_mean,k_min_over_mean,frac_k_lt_1e3,run_id,topo,band,band_f,nu_target,nu_achieved,gap,dnu_bulk,dnu_worst
82,0.016901585387532555,0.07479537990557658,0.0,0.0,0.5705870544017899,0.7645925724475047,0.13726726211346543,0.9470271987648398,0.0,53,foam,small,0.9,0.45,0.3447858342433533,3.233972628290651e-13,1.815214645262131e-14,nan
104,3.112639563237326e-07,0.009073967147276598,0.009615384615384616,0.009615384615384616,0.03925127393810473,0.4905416892760768,0.05759668129815067,0.9958001491797325,0.0,54,flipped,none,0.99,0.45,0.2776014417065837,0.010429432449979329,0.0002497701157087029,nan
72,0.00019567470755993334,0.00039103129049313016,0.1111111111111111,0.0,0.5809164616119186,0.6117460839715417,0.8521217745940548,0.0033066119382773205,0.0,55,flipped,soft,0.0,-0.9,-0.789002100689397,0.14749770064853435,0.004033109764520537,nan
72,0.008350630856845358,0.017572823344454393,0.0,0.0,0.645283341947493,0.7570632581310425,0.4377282899515587,0.15818136104613253,0.0,56,bravais,large,0.1,-0.9,-0.15817342634255752,0.2524927133379452,0.029627239670586336,nan
100,0.005645395179635993,0.031979994294901386,0.0,0.0,0.4697181354883225,0.7057381951156835,0.44457785446944287,0.6373326564806838,0.0,57,foam,medium,0.5,-0.9,0.17013510863782433,8.37032278696113e-13,0.0009681836642862207,nan
126,0.04984976453588217,0.08874969753681233,0.0,0.0,0.6793001132952868,0.7582630849774793,0.2668571309973532,0.9506618586756086,0.0,58,foam,small,0.9,-0.9,0.3262283244619141,8.207901247808527e-13,4.440892098500626e-14,nan
60,0.03719959873818417,0.07532894616054224,0.0,0.0,0.6516785402238743,0.7222550085079076,0.4783271603349131,0.9951870198879067,0.0,59,bravais,none,0.99,-0.9,0.2766681819171386,7.575632548014155e-13,2.5202062658991053e-14,nan
110,0.0009669763430261128,0.0019903484799887374,0.00909090909090909,0.0,0.6999632914919827,0.747573395413723,0.6128332441502924,0.00854776396293623,0.0,60,foam,soft,0.0,-0.7,-0.6776519954047948,1.0157286668296467e-12,0.02149710078429734,nan
120,0.006983494810025878,0.013124457174554351,0.0,0.0,0.6013310842667856,0.712668246068165,0.36383498151557825,0.15951200063153692,0.0,61,bravais,large,0.1,-0.7,-0.15047526254242607,3.1288475529921717e-12,9.520162436160717e-15,nan
68,0.004960709418035074,0.007394709102155815,0.0,0.0,0.4749532643290245,0.5033235909543028,0.5010863243429524,0.6463199089635453,0.0,62,tiling,medium,0.5,-0.7,0.28602547201099376,1.4177507288877238,0.3109922975610391,nan
120,0.01655078060334233,0.03393139328528878,0.0,0.0,0.5247868031560858,0.6333360433768953,0.38443334560778036,0.9460187940401936,0.0,63,bravais,small,0.9,-0.7,0.2696882845278019,1.6125003646322927e-12,4.596323321948148e-14,nan
60,0.07864082784651998,0.10955985487548331,0.0,0.0,0.6991287895766108,0.7758089947125074,0.5418258168189638,0.9950634173134253,0.0,64,bravais,none,0.99,-0.7,0.26899024891590856,3.9582402661480395e-13,2.5091040356528538e-14,nan
96,7.595891273828582e-05,0.0008469986284453128,0.0625,0.020833333333333332,0.10281871243059831,0.28460527579249745,0.03996058523319384,0.031497420477425084,0.0,65,foam,soft,0.0,-0.5,-0.5001322147069506,2.6262058780509732e-11,6.096234628216735e-13,nan
96,0.0034055314301993395,0.010587169799872325,0.0,0.0,0.524727083020784,0.6593569092607071,0.3228347215613317,0.16750820966674373,0.0,66,bravais,large,0.1,-0.5,-0.17887872966086468,1.5629748074674034e-12,6.00908212078366e-14,nan
120,0.015506011590817756,0.056000166129491886,0.0,0.0,0.5518887923692373,0.7210173759146677,0.20435505864409542,0.6536976170973818,0.0,67,foam,medium,0.5,-0.5,0.28850898768769634,5.650581801531141e-13,3.3362201889985954e-14,nan
102,0.0002784498381079817,0.011292912210661605,0.00980392156862745,0.0,0.2042598247560581,0.5242961806670271,0.5089926784977918,0.9435830386731465,0.0,68,flipped,small,0.9,-0.5,0.20680565031740789,1.204115365067659e-12,4.5047299224165727e-14,nan
130,0.00021703954600493601,0.0017465291353223084,0.03076923076923077,0.0,0.13302439837782304,0.2412838581566841,0.04381906599168065,0.9946675447462512,0.0,69,foam,none,0.99,-0.5,0.1957072664080281,5.160478776029263e-11,4.1061598565761415e-12,nan
64,0.006714681450972973,0.00824628608476886,0.0,0.0,0.8427252185221659,0.8528924110929179,0.7887666602460773,0.034182160625732004,0.0,70,auxetic,soft,0.0,-0.3,-0.3000707062817027,2.180356524097612e-13,1.709743457922741e-14,nan
48,0.0027425009413331565,0.0029448410577480734,0.0,0.0,0.48646427326265207,0.4953864082657943,0.5975318206508275,0.16212276585944876,0.0,71,tiling,large,0.1,-0.3,-0.14586229804339151,1.4234679645334467,0.11334290305149664,nan
100,2.9555299667146028e-05,0.007149695671140112,0.03,0.02,0.12233711612920832,0.4685706176304519,0.16983064722743982,0.6225513517995793,0.0,72,flipped,medium,0.5,-0.3,0.06604642976670995,4.608279851729358e-12,2.310374114244951e-13,nan
116,3.1092763166817435e-07,0.0006907476029640344,0.06896551724137931,0.04310344827586207,0.008999512212454035,0.13726542401003916,0.002494386395907079,0.9466309297658685,0.0,73,foam,small,0.9,-0.3,0.2284248182141985,0.029739233765335993,0.00031920022982481755,nan
120,0.03248505009476903,0.08137404837143042,0.0,0.0,0.6232746084543701,0.7317070516276617,0.515088880249907,0.9948916948599706,0.0,74,bravais,none,0.99,-0.3,0.28361736408083815,9.619522292337095e-13,0.000547130293759357,nan
60,0.006495873496565708,0.008368684024266734,0.0,0.0,0.7513153574052479,0.7909889479148959,0.5144727668560789,0.04438006851251966,0.0,75,bravais,soft,0.0,-0.15,-0.14982111370596946,1.9375743863663578e-12,4.315992008230296e-14,nan
98,9.016921203729391e-07,0.0016970482476489689,0.05102040816326531,0.02040816326530612,0.02161027830846652,0.25329758626384374,0.004275663221617411,0.18113991509081917,0.0,76,foam,large,0.1,-0.15,-0.1209054752605105,0.31589869371885604,0.02013094767226757,nan
96,0.12474666934598935,0.15931190095938164,0.0,0.0,0.8928715317272786,0.9284659527557484,0.7677758802309793,0.6935536657927392,0.0,77,bravais,medium,0.5,-0.15,0.29129818360280846,1.8818091235449228e-13,2.0872192862952943e-14,nan
102,1.1956882805396851e-09,0.0036499643346164534,0.0196078431372549,0.0196078431372549,0.010202481022006582,0.4084800738591986,0.018082766167440992,0.9453818954356191,0.0,78,flipped,small,0.9,-0.15,0.1555792610491252,0.034194265276391925,0.002061201173281957,nan
106,0.00016908737591453502,0.0056564841164727115,0.018867924528301886,0.0,0.19492199436889676,0.4448620286408272,0.3523425814243057,0.9942437479438965,0.0,79,flipped,none,0.99,-0.15,0.22270580262741266,1.7426808923639988e-12,1.4732659536775827e-13,nan
