# commit=a031675 dirty=True saved_utc=2026-08-21T19:39:23+00:00
n_tri,rcond_min,rcond_p05,frac_rcond_lt_1e3,frac_rcond_lt_1e4,quality_min,quality_p05,area_min_over_mean,k_min_over_mean,frac_k_lt_1e3,run_id,topo,nu_target,nu_achieved,gap,dnu_bulk,dnu_worst
72,2.651149790046477e-05,0.0019154648093453637,0.027777777777777776,0.013888888888888888,0.12359749990062989,0.34450105252249,0.09901015570756305,1.0,0.0,41,square_octagon,0.3,0.23714368544671954,0.07371622266807305,0.010570495626316151,0.018145135769353893
72,0.00019873000743341498,0.003186455168302624,0.041666666666666664,0.0,0.20331280706398075,0.3620097297086364,0.1259689873106865,1.0,0.0,42,square_octagon,0.4,0.24173125276834265,0.07556711732865294,0.008953205643128154,0.017177180140877435
72,2.7642639430475105e-05,0.002640883532401237,0.041666666666666664,0.027777777777777776,0.12430470792571471,0.32535914572964125,0.13568707310606096,1.0,0.0,43,square_octagon,0.6,0.23634975688018198,0.08924926293579272,0.011519607390970715,0.020361895245142314
72,7.313811299223555e-05,0.002619200063148425,0.05555555555555555,0.013888888888888888,0.15768057633597016,0.3222499972552301,0.13363345155225043,1.0,0.0,44,square_octagon,0.9,0.23671186823372498,0.09353617311576236,0.012196517494401343,0.021381869597689396
144,1.2059234467776422e-10,4.271757791059812e-07,0.2569444444444444,0.1597222222222222,0.0055249223432588136,0.031654741420059834,0.006100015390594408,1.0,0.0,45,tetrakis,-0.95,-0.22610764839679004,0.6200647154072303,0.07735229961384171,0.11451147093721051
144,2.539468124561882e-08,4.9163843181106565e-06,0.16666666666666666,0.09027777777777778,0.019350100556115277,0.07215262344014148,0.017257177905030178,1.0,0.0,46,tetrakis,-0.75,-0.06706458459966107,0.48846288672613086,0.025848794500876515,0.04644098782897707
144,2.539468124561882e-08,4.9163843181106565e-06,0.16666666666666666,0.09027777777777778,0.019350100556115277,0.07215262344014148,0.017257177905030178,1.0,0.0,47,tetrakis,-0.5,-0.06706458459966107,0.48846288672613086,0.025848794500876515,0.04644098782897707
144,2.539468124561882e-08,4.9163843181106565e-06,0.16666666666666666,0.09027777777777778,0.019350100556115277,0.07215262344014148,0.017257177905030178,1.0,0.0,48,tetrakis,-0.3,-0.06706458459966107,0.48846288672613086,0.025848794500876515,0.04644098782897707
144,1.3244068664946196e-09,1.4950518438757217e-05,0.1388888888888889,0.0763888888888889,0.007873807936714716,0.09938965361105638,0.012971031418261338,1.0,0.0,49,tetrakis,-0.1,-0.025396779837335102,1.6777584869940476,0.0630865206764437,0.0836590410774648
144,2.577876788879821e-07,0.00032374001669877527,0.09722222222222222,0.027777777777777776,0.03833424401091365,0.15251553815177812,0.042306251349234755,1.0,0.0,50,tetrakis,0.1,0.09769148037408128,0.1160947337936446,0.00315004005608506,0.011569262634365848
144,3.745971321401511e-06,0.003391678040164859,0.041666666666666664,0.013888888888888888,0.07405765615584678,0.2920015663695543,0.0762782903752343,1.0,0.0,51,tetrakis,0.2,0.2017541974338719,0.04792457182075466,0.000639816417967648,0.006453981401373127
144,0.003612342840808256,0.01780843005866509,0.0,0.0,0.3102960447056094,0.49292264745518677,0.3185695938478253,1.0,0.0,52,tetrakis,0.3,0.30170528888039677,1.1352511700327357e-12,2.3703261575747092e-14,1.5892842597509116e-13
144,0.0036779238582096436,0.01755826263917705,0.0,0.0,0.3679298716806487,0.49614139616751834,0.3003488391923798,1.0,0.0,53,tetrakis,0.4,0.3278798210893776,2.1034903352927983e-12,7.271960811294775e-15,3.1108449149996886e-13
144,0.002376868216493914,0.010952388285124771,0.0,0.0,0.25937658985792267,0.44214696372299295,0.1566627323540437,1.0,0.0,54,tetrakis,0.6,0.33302452030303303,2.3475584343846585e-12,3.4416913763379853e-15,3.1757929619402603e-13
144,0.002376868216493914,0.010952388285124771,0.0,0.0,0.25937658985792267,0.44214696372299295,0.1566627323540437,1.0,0.0,55,tetrakis,0.9,0.33302452030303303,2.3475584343846585e-12,3.4416913763379853e-15,3.1757929619402603e-13
64,4.944637381747149e-06,2.7614737514207566e-05,0.171875,0.109375,0.07544661026049035,0.11471839471761874,0.06367693369416973,1.0,0.0,56,rotating_squares,-0.95,-0.36924771496251846,0.4974174632699042,0.10250939077613591,0.18586395464996863
64,4.944637381747149e-06,2.7614737514207566e-05,0.171875,0.109375,0.07544661026049035,0.11471839471761874,0.06367693369416973,1.0,0.0,57,rotating_squares,-0.75,-0.36924771496251846,0.4974174632699042,0.10250939077613591,0.18586395464996863
