run_id,topo,topo_class,coord_sig,n_nodes,n_bond,nu_target,nu_initial,nu_achieved_sim,E_achieved_sim,err,nu_aniso_std,solver_sim_gap,trustworthy,status,error,design_loss,design_path
31,kagome,basis,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,54,162,0.4,0.2380925614720717,0.3220639393419995,1.1201923067021506,0.07793606065800052,0.03992449371215651,2.578512021979239e-12,1,ok,,0.0076679947490832946,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\design_g12_kagome_p040.npz
32,kagome,basis,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,54,162,0.6,0.2380925614720717,0.33915841577841677,1.0895662761300868,0.2608415842215832,0.05065814377520679,4.307847439339028e-12,1,ok,,0.07060457959013093,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\design_g12_kagome_p060.npz
33,kagome,basis,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,54,162,0.9,0.2380925614720717,0.33915841577841677,1.0895662761300868,0.5608415842215833,0.05065814377520679,4.307847439339028e-12,1,ok,,0.3171095301232511,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\design_g12_kagome_p090.npz
34,square_octagon,tiling,3:0.08|4:0.17|5:0.19|6:0.22|7:0.08|8:0.06|9:0.08|10:0.03|12:0.06|14:0.03,36,114,-0.95,0.26544074745415297,0.8334019015873516,0.002965747986574117,1.7834019015873515,0.03723605689152392,3.382956244932145,0,ok,,0.46900170345936115,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_square_octagon_m095.npz
35,square_octagon,tiling,3:0.08|4:0.17|5:0.19|6:0.22|7:0.08|8:0.06|9:0.08|10:0.03|12:0.06|14:0.03,36,114,-0.75,0.26544074745415297,0.8389049557105979,0.0029757504520766,1.5889049557105979,0.03913453776230398,3.0925678080924257,0,ok,,0.31746566792572767,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_square_octagon_m075.npz
36,square_octagon,tiling,3:0.08|4:0.17|5:0.19|6:0.22|7:0.08|8:0.06|9:0.08|10:0.03|12:0.06|14:0.03,36,114,-0.5,0.26544074745415297,0.8612760147998647,0.0030091147396140053,1.3612760147998646,0.04924274603898056,2.734993013952912,0,ok,,0.18157735655588564,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_square_octagon_m050.npz
37,square_octagon,tiling,3:0.08|4:0.17|5:0.19|6:0.22|7:0.08|8:0.06|9:0.08|10:0.03|12:0.06|14:0.03,36,114,-0.3,0.26544074745415297,0.8576496926857986,0.0030213371380768093,1.1576496926857986,0.047704415918681596,2.4110575637119904,0,ok,,0.10890323523702432,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_square_octagon_m030.npz
38,square_octagon,tiling,3:0.08|4:0.17|5:0.19|6:0.22|7:0.08|8:0.06|9:0.08|10:0.03|12:0.06|14:0.03,36,114,-0.1,0.26544074745415297,0.507324570962498,0.0027032566238199343,0.6073245709624979,0.06606813260850072,2.024317947590283,0,ok,,0.01548828657605422,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_square_octagon_m010.npz
39,square_octagon,tiling,3:0.08|4:0.17|5:0.19|6:0.22|7:0.08|8:0.06|9:0.08|10:0.03|12:0.06|14:0.03,36,114,0.1,0.26544074745415297,0.5600597010571837,0.002754315033300688,0.46005970105718375,0.05564417983435191,1.5623337937638353,0,ok,,0.007345454921755024,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_square_octagon_p010.npz
40,square_octagon,tiling,3:0.08|4:0.17|5:0.19|6:0.22|7:0.08|8:0.06|9:0.08|10:0.03|12:0.06|14:0.03,36,114,0.2,0.26544074745415297,0.551595577246504,0.0027382263317314894,0.351595577246504,0.0530332514051256,1.3195688554401803,0,ok,,0.003652018903651709,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_square_octagon_p020.npz
41,square_octagon,tiling,3:0.08|4:0.17|5:0.19|6:0.22|7:0.08|8:0.06|9:0.08|10:0.03|12:0.06|14:0.03,36,114,0.3,0.26544074745415297,0.5266730533280097,0.0026602520283241686,0.22667305332800974,0.06537650232249645,1.0531409569205756,0,ok,,0.000743407809029777,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_square_octagon_p030.npz
42,square_octagon,tiling,3:0.08|4:0.17|5:0.19|6:0.22|7:0.08|8:0.06|9:0.08|10:0.03|12:0.06|14:0.03,36,114,0.4,0.26544074745415297,0.6244941440065531,0.0027573637444475324,0.2244941440065531,0.059258955600252156,0.9187138550053626,0,ok,,0.0008225903994329948,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_square_octagon_p040.npz
43,square_octagon,tiling,3:0.08|4:0.17|5:0.19|6:0.22|7:0.08|8:0.06|9:0.08|10:0.03|12:0.06|14:0.03,36,114,0.6,0.26544074745415297,0.8121448167239061,0.0032270918245974516,0.21214481672390617,0.04211855436899477,0.8238917461087207,0,ok,,0.0001897664733469793,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_square_octagon_p060.npz
44,square_octagon,tiling,3:0.08|4:0.17|5:0.19|6:0.22|7:0.08|8:0.06|9:0.08|10:0.03|12:0.06|14:0.03,36,114,0.9,0.26544074745415297,0.949822952752807,0.0030585855083161534,0.049822952752807015,0.05220457991742602,0.3888198480109652,0,ok,,8.483020933311787e-05,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_square_octagon_p090.npz
45,tetrakis,basis,4:0.50|8:0.50,72,216,-0.95,0.3333333333333093,-0.06230154328905218,0.7542986684066096,0.8876984567109478,0.026397486452244316,0.4470956885664282,0,ok,,0.743834736078622,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_tetrakis_m095.npz
46,tetrakis,basis,4:0.50|8:0.50,72,216,-0.75,0.3333333333333093,-0.06706458459966107,0.7521488804463213,0.682935415400339,0.026740259879880105,0.48846288672613086,0,ok,,0.4324721606115097,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_tetrakis_m075.npz
47,tetrakis,basis,4:0.50|8:0.50,72,216,-0.5,0.3333333333333093,-0.06706458459966107,0.7521488804463213,0.4329354154003389,0.026740259879880105,0.48846288672613086,0,ok,,0.16642885016177855,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_tetrakis_m050.npz
48,tetrakis,basis,4:0.50|8:0.50,72,216,-0.3,0.3333333333333093,-0.06706458459966107,0.7521488804463213,0.2329354154003389,0.026740259879880105,0.48846288672613086,0,ok,,0.0435942018019936,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_tetrakis_m030.npz
49,tetrakis,basis,4:0.50|8:0.50,72,216,-0.1,0.3333333333333093,-0.025396779837335102,0.7879801337614197,0.07460322016266491,0.03257788799264411,1.6777584869940476,0,ok,,0.0007794357256694256,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_tetrakis_m010.npz
50,tetrakis,basis,4:0.50|8:0.50,72,216,0.1,0.3333333333333093,0.09769148037408128,0.944621768268224,0.0023085196259187285,0.007593522450564949,0.1160947337936446,0,ok,,2.7401238073306665e-05,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_tetrakis_p010.npz
51,tetrakis,basis,4:0.50|8:0.50,72,216,0.2,0.3333333333333093,0.2017541974338719,1.0903014670965454,0.0017541974338718958,0.008305585714204878,0.04792457182075466,1,ok,,2.8131021404073133e-05,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\design_g12_tetrakis_p020.npz
52,tetrakis,basis,4:0.50|8:0.50,72,216,0.3,0.3333333333333093,0.30170528888039677,1.2363300605281098,0.0017052888803967825,0.0022204585419580308,1.1352511700327357e-12,1,ok,,7.838446301791038e-06,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\design_g12_tetrakis_p030.npz
53,tetrakis,basis,4:0.50|8:0.50,72,216,0.4,0.3333333333333093,0.3282230593204918,1.253718083574628,0.07177694067950824,0.011678236994666377,1.0792695077521008e-12,1,ok,,0.00528831043261264,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\design_g12_tetrakis_p040.npz
54,tetrakis,basis,4:0.50|8:0.50,72,216,0.6,0.3333333333333093,0.33302452030303303,1.2248346154598386,0.26697547969696694,0.020803149675371196,2.3475584343846585e-12,1,ok,,0.07170867779583104,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\design_g12_tetrakis_p060.npz
55,tetrakis,basis,4:0.50|8:0.50,72,216,0.9,0.3333333333333093,0.33302452030303303,1.2248346154598386,0.566975479696967,0.020803149675371196,2.3475584343846585e-12,1,ok,,0.3218939656140092,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\design_g12_tetrakis_p090.npz
56,rotating_squares,auxetic,5:0.22|6:0.25|7:0.53,32,101,-0.95,0.31810153210195463,-0.7610922967206015,0.15443969545334293,0.18890770327939843,0.21343829337094247,1.7415214369625125,0,ok,,0.004161625347806399,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_rotating_squares_m095.npz
57,rotating_squares,auxetic,5:0.22|6:0.25|7:0.53,32,101,-0.75,0.31810153210195463,-0.6374341841102839,0.2212207208350178,0.11256581588971615,0.14471119217436704,1.6197123900426327,0,ok,,0.014256860371326435,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_rotating_squares_m075.npz
58,rotating_squares,auxetic,5:0.22|6:0.25|7:0.53,32,101,-0.5,0.31810153210195463,-0.3150195913736195,0.44581161865536484,0.1849804086263805,0.031007654528569357,2.047134095441418,0,ok,,0.008287580839848634,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_rotating_squares_m050.npz
59,rotating_squares,auxetic,5:0.22|6:0.25|7:0.53,32,101,-0.3,0.31810153210195463,-0.3523757338535268,0.3445841727497998,0.052375733853526785,0.08922484335607361,1.4493856305261212,0,ok,,0.006414764909314729,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_rotating_squares_m030.npz
60,rotating_squares,auxetic,5:0.22|6:0.25|7:0.53,32,101,-0.1,0.31810153210195463,-0.18827097712933252,0.45084975413750467,0.08827097712933252,0.07505469955947221,1.4800551646460463,0,ok,,0.0008797935705590728,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_rotating_squares_m010.npz
61,rotating_squares,auxetic,5:0.22|6:0.25|7:0.53,32,101,0.1,0.31810153210195463,-0.3295589865822704,0.3894829784733096,0.42955898658227043,0.05230742216395304,2.3041788112660577,0,ok,,0.0040358987004855485,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_rotating_squares_p010.npz
62,rotating_squares,auxetic,5:0.22|6:0.25|7:0.53,32,101,0.2,0.31810153210195463,-0.2793376555890882,0.3976824459349925,0.4793376555890882,0.07108697923098668,4.173134574232966,0,ok,,0.12348796410760896,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_rotating_squares_p020.npz
63,rotating_squares,auxetic,5:0.22|6:0.25|7:0.53,32,101,0.3,0.31810153210195463,-0.2830880029796917,0.3928824689808552,0.5830880029796917,0.06430267946226007,4.150087339721258,0,ok,,0.09561539700802467,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_rotating_squares_p030.npz
