i,after,rep,vs,ratio_to_baseline,secs
265,test_mixed_global_local,14,2.204663e-13,0.138,0.41
266,test_mixed_global_local,15,2.204663e-13,0.138,0.31
267,test_mixed_global_local,16,2.204663e-13,0.138,0.31
268,test_mixed_global_local,17,2.204663e-13,0.138,0.31
269,test_mixed_global_local,18,2.204663e-13,0.138,0.29
270,test_mixed_global_local,19,2.204663e-13,0.138,0.29
271,test_mixed_global_local,20,2.204663e-13,0.138,0.30
272,test_mixed_global_local,21,2.204663e-13,0.138,0.32
273,test_mixed_global_local,22,2.204663e-13,0.138,0.32
274,test_mixed_global_local,23,2.204663e-13,0.138,0.32
275,test_mixed_global_local,24,2.204663e-13,0.138,0.33
276,test_mixed_global_local,25,2.204663e-13,0.138,0.32
277,test_mixed_global_local,26,2.204663e-13,0.138,0.36
278,test_mixed_global_local,27,2.204663e-13,0.138,0.33
279,test_mixed_global_local,28,2.204663e-13,0.138,0.34
280,test_mixed_global_local,29,2.204663e-13,0.138,0.32
281,test_mixed_global_local,30,2.204663e-13,0.138,0.30
282,test_mixed_global_local,31,2.204663e-13,0.138,0.30
283,test_mixed_global_local,32,2.204663e-13,0.138,0.29
284,test_mixed_global_local,33,2.204663e-13,0.138,0.29
285,test_mixed_global_local,34,2.204663e-13,0.138,0.29
286,test_mixed_global_local,35,2.204663e-13,0.138,0.28
287,test_mixed_global_local,36,2.204663e-13,0.138,0.29
288,test_mixed_global_local,37,2.204663e-13,0.138,0.30
289,test_mixed_global_local,38,2.204663e-13,0.138,0.30
290,test_mixed_global_local,39,2.204663e-13,0.138,0.32
291,test_mixed_global_local,40,2.204663e-13,0.138,0.30
292,test_mixed_global_local,41,2.204663e-13,0.138,0.32
293,test_mixed_global_local,42,2.204663e-13,0.138,0.34
294,test_mixed_global_local,43,2.204663e-13,0.138,0.31
295,test_mixed_global_local,44,2.204663e-13,0.138,0.30
296,test_mixed_global_local,45,2.204663e-13,0.138,0.28
297,test_mixed_global_local,46,2.204663e-13,0.138,0.31
298,test_mixed_global_local,47,2.204663e-13,0.138,0.36
299,test_mixed_global_local,48,2.204663e-13,0.138,0.37
300,test_mixed_global_local,49,2.204663e-13,0.138,0.38
301,test_large_N_adjoint,0,2.204663e-13,0.138,0.32
302,test_large_N_adjoint,1,2.204663e-13,0.138,0.36
303,test_large_N_adjoint,2,2.204663e-13,0.138,0.37
304,test_large_N_adjoint,3,2.204663e-13,0.138,0.39
305,test_large_N_adjoint,4,2.204663e-13,0.138,0.30
306,test_large_N_adjoint,5,2.204663e-13,0.138,0.34
307,test_large_N_adjoint,6,2.204663e-13,0.138,0.40
308,test_large_N_adjoint,7,2.204663e-13,0.138,0.44
309,test_large_N_adjoint,8,2.204663e-13,0.138,0.37
310,test_large_N_adjoint,9,2.204663e-13,0.138,0.30
311,test_large_N_adjoint,10,2.204663e-13,0.138,0.31
312,test_large_N_adjoint,11,2.204663e-13,0.138,0.30
313,test_large_N_adjoint,12,2.204663e-13,0.138,0.32
314,test_large_N_adjoint,13,2.204663e-13,0.138,0.31
315,test_large_N_adjoint,14,2.204663e-13,0.138,0.31
316,test_large_N_adjoint,15,2.204663e-13,0.138,0.30
317,test_large_N_adjoint,16,2.204663e-13,0.138,0.30
318,test_large_N_adjoint,17,2.204663e-13,0.138,0.30
319,test_large_N_adjoint,18,2.204663e-13,0.138,0.32
320,test_large_N_adjoint,19,2.204663e-13,0.138,0.33
321,test_large_N_adjoint,20,2.204663e-13,0.138,0.38
322,test_large_N_adjoint,21,2.204663e-13,0.138,0.30
323,test_large_N_adjoint,22,2.204663e-13,0.138,0.29
324,test_large_N_adjoint,23,2.204663e-13,0.138,0.30
325,test_large_N_adjoint,24,2.204663e-13,0.138,0.32
326,test_large_N_adjoint,25,2.204663e-13,0.138,0.34
327,test_large_N_adjoint,26,2.204663e-13,0.138,0.32
328,test_large_N_adjoint,27,2.204663e-13,0.138,0.57
329,test_large_N_adjoint,28,2.204663e-13,0.138,0.32
330,test_large_N_adjoint,29,2.204663e-13,0.138,0.31
331,test_large_N_adjoint,30,2.204663e-13,0.138,0.33
332,test_large_N_adjoint,31,2.204663e-13,0.138,0.39
333,test_large_N_adjoint,32,2.204663e-13,0.138,0.42
334,test_large_N_adjoint,33,2.204663e-13,0.138,0.33
335,test_large_N_adjoint,34,2.204663e-13,0.138,0.30
336,test_large_N_adjoint,35,2.204663e-13,0.138,0.29
337,test_large_N_adjoint,36,2.204663e-13,0.138,0.33
338,test_large_N_adjoint,37,2.204663e-13,0.138,0.39
339,test_large_N_adjoint,38,2.204663e-13,0.138,0.45
340,test_large_N_adjoint,39,2.204663e-13,0.138,0.43
341,test_large_N_adjoint,40,2.204663e-13,0.138,0.32
342,test_large_N_adjoint,41,2.204663e-13,0.138,0.32
343,test_large_N_adjoint,42,2.204663e-13,0.138,0.31
344,test_large_N_adjoint,43,2.204663e-13,0.138,0.29
345,test_large_N_adjoint,44,2.204663e-13,0.138,0.30
346,test_large_N_adjoint,45,2.204663e-13,0.138,0.44
347,test_large_N_adjoint,46,2.204663e-13,0.138,0.35
348,test_large_N_adjoint,47,2.204663e-13,0.138,0.35
349,test_large_N_adjoint,48,2.204663e-13,0.138,0.34
350,test_large_N_adjoint,49,2.204663e-13,0.138,0.39
351,test_open_domain,0,2.204663e-13,0.138,0.35
352,test_open_domain,1,2.204663e-13,0.138,0.35
353,test_open_domain,2,2.204663e-13,0.138,0.34
354,test_open_domain,3,2.204663e-13,0.138,0.30
355,test_open_domain,4,2.204663e-13,0.138,0.30
356,test_open_domain,5,2.204663e-13,0.138,0.29
357,test_open_domain,6,2.204663e-13,0.138,0.32
358,test_open_domain,7,2.204663e-13,0.138,0.32
359,test_open_domain,8,2.204663e-13,0.138,0.32
360,test_open_domain,9,2.204663e-13,0.138,0.29
361,test_open_domain,10,2.204663e-13,0.138,0.32
362,test_open_domain,11,2.204663e-13,0.138,0.29
363,test_open_domain,12,2.204663e-13,0.138,0.29
364,test_open_domain,13,2.204663e-13,0.138,0.29
365,test_open_domain,14,2.204663e-13,0.138,0.31
366,test_open_domain,15,2.204663e-13,0.138,0.36
367,test_open_domain,16,2.204663e-13,0.138,0.32
368,test_open_domain,17,2.204663e-13,0.138,0.33
369,test_open_domain,18,2.204663e-13,0.138,0.37
370,test_open_domain,19,2.204663e-13,0.138,0.30
371,test_open_domain,20,2.204663e-13,0.138,0.30
372,test_open_domain,21,2.204663e-13,0.138,0.32
373,test_open_domain,22,2.204663e-13,0.138,0.32
374,test_open_domain,23,2.204663e-13,0.138,0.29
375,test_open_domain,24,2.204663e-13,0.138,0.28
376,test_open_domain,25,2.204663e-13,0.138,0.34
377,test_open_domain,26,2.204663e-13,0.138,0.31
378,test_open_domain,27,2.204663e-13,0.138,0.27
379,test_open_domain,28,2.204663e-13,0.138,0.30
380,test_open_domain,29,2.204663e-13,0.138,0.32
381,test_open_domain,30,2.204663e-13,0.138,0.32
382,test_open_domain,31,2.204663e-13,0.138,0.32
383,test_open_domain,32,2.204663e-13,0.138,0.31
384,test_open_domain,33,2.204663e-13,0.138,0.31
385,test_open_domain,34,2.204663e-13,0.138,0.30
386,test_open_domain,35,2.204663e-13,0.138,0.30
387,test_open_domain,36,2.204663e-13,0.138,0.28
388,test_open_domain,37,2.204663e-13,0.138,0.30
389,test_open_domain,38,2.204663e-13,0.138,0.32
390,test_open_domain,39,2.204663e-13,0.138,0.29
391,test_open_domain,40,2.204663e-13,0.138,0.29
392,test_open_domain,41,2.204663e-13,0.138,0.33
393,test_open_domain,42,2.204663e-13,0.138,0.31
394,test_open_domain,43,2.204663e-13,0.138,0.30
395,test_open_domain,44,2.204663e-13,0.138,0.29
396,test_open_domain,45,2.204663e-13,0.138,0.31
397,test_open_domain,46,2.204663e-13,0.138,0.31
