run_id,topo_name,topo_class,n_nodes,n_bond,nu_target,band,band_f,nu_sim_initial,E_sim_initial,err_initial,nu_sim_konly,E_sim_konly,err_konly,nu_sim_full,E_sim_full,err_full,nu_solver_full,kmin_avg,solver_sim_gap,trustworthy,design_path,status,error
10,random_uniform_n55_s1042,foam,55,165,-0.5,soft,0.0,0.2551762570967289,1.0613052871700381,0.7551762570967289,-0.4978632548827534,1.000000000009522,0.0021367451172465968,-0.49980250634662593,1.0000000000095262,0.0001974936533740701,-0.4998025063470869,0.03276060034140396,2.6227038609969794e-11,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_10.npz,ok,
11,bravais_phi1.2_psi1.0_eta0.2_s1,bravais,30,90,-0.5,large,0.1,0.3014757737436627,1.0956464494900622,0.8014757737436626,-0.08848523559162612,1.0000000000008746,0.41151476440837387,-0.1618033657847874,1.000000000001145,0.3381966342152126,-0.16180336578484983,0.1622881287785748,3.5523382938405648e-12,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_11.npz,ok,
12,bravais_phi1.2_psi0.8_eta0.2_s0,bravais,60,180,-0.5,medium,0.5,0.30416122121585615,1.1077768015958291,0.8041612212158562,0.22267493941614044,1.0000000000004836,0.7226749394161405,0.18999200604665145,1.0000000000007483,0.6899920060466515,0.18999200604659058,0.6396161835596197,2.747881264703827e-12,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_12.npz,ok,
13,bravais_phi1.0_psi1.0_eta0.2_s1,bravais,36,108,-0.5,small,0.9,0.28087520166275926,1.0769616006744382,0.7808752016627593,0.26801652192503206,1.0002641866846005,0.7680165219250321,0.24557520625979937,1.0004621225816135,0.7455752062597993,0.24525498694388528,0.9455985674068433,0.003076015827030117,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_13.npz,ok,
14,random_uniform_n45_s1014,foam,45,135,-0.5,none,0.99,0.2797196315481537,1.0803257973015021,0.7797196315481537,0.27810651111198026,1.0000000000036215,0.7781065111119803,0.2468259928932981,1.0129753414513558,0.7468259928932981,0.23434685354343446,0.9951097801742277,0.07879898675010709,0,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_14.npz,ok,
15,flipped_s306_f8,flipped,55,165,-0.3,soft,0.0,0.23166028094454855,1.0605512948762748,0.5316602809445485,-0.3007546792607885,1.0000000000015243,0.0007546792607885378,-0.2999775302448352,1.0000000000012796,2.2469755164788996e-05,-0.29997753024532037,0.02414044272741823,6.471112134458881e-12,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_15.npz,ok,
16,random_blue_noise_n44_s1005,foam,44,132,-0.3,large,0.1,0.3342462761846898,1.1922734684590683,0.6342462761846898,0.031131184386763943,0.9999999999998965,0.3311311843867639,-0.004176699665974504,1.0000000000000315,0.2958233003340255,-0.004176699665975534,0.16381360889734725,1.5838234362921006e-12,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_16.npz,ok,
17,auxetic_rotating_squares_t20.0_r4,auxetic,32,100,-0.3,medium,0.5,0.29751800577331905,1.197499949840208,0.597518005773319,0.2322512762708209,1.2505614362717254,0.5322512762708209,0.1973855430709722,1.24984385769313,0.49738554307097216,0.14483318707202691,0.64620520796562,0.6372401747658485,0,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_17.npz,ok,
18,flipped_s311_f8,flipped,53,159,-0.3,small,0.9,0.24807523572768675,1.0290749495426181,0.5480752357276868,0.2318820062416501,1.0000000000002036,0.53188200624165,0.20569830779130904,1.000000000000397,0.5056983077913091,0.20569830779118123,0.9403797503507076,1.5668500823540173e-12,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_18.npz,ok,
19,random_uniform_n61_s1034,foam,61,183,-0.3,none,0.99,0.2578618287471113,1.0437910169618547,0.5578618287471113,0.25590897876420177,1.000000000008552,0.5559089787642018,0.22302231857179908,1.0063881291357728,0.523022318571799,0.21347642425839738,0.9948173496777886,0.0590225704815623,0,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_19.npz,ok,
